ID,1차 카테고리,2차 카테고리,활동지역,상세지역,카페명,URL,회원수,핫딜게시판,등업불가,일반발행가능
cf-0001,건강/운동/스포츠,건강,,,간사랑동호회,https://cafe.naver.com/liverlover,117033,,,O
cf-0002,건강/운동/스포츠,건강,,,척추질환 환우모임,https://cafe.naver.com/peopledisc,365377,,,O
cf-0003,건강/운동/스포츠,건강,,,고고당,https://cafe.naver.com/pyurion,50455,,,O
cf-0004,건강/운동/스포츠,건강,,,십자인대 및 무릎환자,https://cafe.naver.com/aclknee,80661,,,O
cf-0005,건강/운동/스포츠,건강,,,십자인대파열,https://cafe.naver.com/mcf79,58836,,,O
cf-0006,건강/운동/스포츠,건강,,,비영리카페 어다모,https://cafe.naver.com/shoulder75,41571,,,O
cf-0007,건강/운동/스포츠,건강,,,고관절무혈성괴사환우모임,https://cafe.naver.com/againwin,26089,,O,O
cf-0008,건강/운동/스포츠,건강,,,다이안의 건강여행기,https://cafe.naver.com/huridisc,124732,,,O
cf-0009,건강/운동/스포츠,건강,,,통제모,https://cafe.naver.com/coodos10,25694,,,O
cf-0010,건강/운동/스포츠,건강,,,신비한 유기셀레늄의 건강여행기,https://cafe.naver.com/tksdich0926,138,,,O
cf-0011,건강/운동/스포츠,건강,,,라준사,https://cafe.naver.com/navercafezz,189190,,,O
cf-0012,건강/운동/스포츠,건강,,,시험관아기카페,https://cafe.naver.com/babyscoming,102789,,,O
cf-0013,건강/운동/스포츠,건강,,,우아갱,https://cafe.naver.com/eoc01,10268,,,O
cf-0014,건강/운동/스포츠,건강,,,여성질환벗어나기,https://cafe.naver.com/nbon1ine,2468,,,O
cf-0015,건강/운동/스포츠,건강,,,갱년기 건강연구소,https://cafe.naver.com/purplelove7,29,,,O
cf-0016,건강/운동/스포츠,건강,,,갱수다,https://cafe.naver.com/xeromultiipx,1132,,,O
cf-0017,건강/운동/스포츠,건강,,,뇌질환환우모임,https://cafe.naver.com/perfectsv,240582,,,O
cf-0018,건강/운동/스포츠,건강,,,신장병환우모임,https://cafe.naver.com/tlswkd,179832,,,O
cf-0019,건강/운동/스포츠,건강,,,전담금,https://cafe.naver.com/eleccigar,164800,,,O
cf-0020,건강/운동/스포츠,건강,,,안구건조증,https://cafe.naver.com/2013platonic,53096,,,O
cf-0021,건강/운동/스포츠,건강,,,파킨슨병,https://cafe.naver.com/parkinson777,31766,,,O
cf-0022,건강/운동/스포츠,건강,,,치건사모,https://cafe.naver.com/chigunsamo,70397,,,O
cf-0023,건강/운동/스포츠,건강/아이,,,아이맘,https://cafe.naver.com/coodos17,55949,,,O
cf-0024,건강/운동/스포츠,건강/아이,,,거북맘VS토끼맘,http://cafe.naver.com/getampethskin,298509,,,O
cf-0025,건강/운동/스포츠,건강/헤어,,,삼탈모,https://cafe.naver.com/30talmo,55500,,,O
cf-0026,건강/운동/스포츠,건강/헤어,,,모네상스,https://cafe.naver.com/gameguidel,113264,,,O
cf-0027,건강/운동/스포츠,건강/헤어,,,이마반,https://cafe.naver.com/imaban,368571,,,O
cf-0028,건강/운동/스포츠,건강/헤어,,,부경모,https://cafe.naver.com/minecraftkor,83463,,,O
cf-0029,결혼/뷰티/요리/패션,결혼,,,다이렉트결혼준비,https://cafe.naver.com/directwedding,1007291,,O,O
cf-0030,결혼/뷰티/요리/패션,결혼,,,웨딩공부,https://cafe.naver.com/llchyll,287750,,,O
cf-0031,결혼/뷰티/요리/패션,결혼,,,부산결준비,https://cafe.naver.com/wedding02,103922,,,O
cf-0032,결혼/뷰티/요리/패션,결혼,,,경남결준비,https://cafe.naver.com/wedding055,86232,,,O
cf-0033,결혼/뷰티/요리/패션,결혼,,,광주결준비,https://cafe.naver.com/wedding062,33504,,,O
cf-0034,결혼/뷰티/요리/패션,결혼,,,짠순이,https://cafe.naver.com/ssekzoa,154456,,,O
cf-0035,결혼/뷰티/요리/패션,결혼,,,제이웨딩,https://cafe.naver.com/b00k2012,62591,,,O
cf-0036,결혼/뷰티/요리/패션,결혼,,,대전결혼준비,https://cafe.naver.com/tjkms,11545,,,O
cf-0037,직장인/업종/창업/취업,광고/마케팅,,,광고문의,https://cafe.naver.com/hamimoms,10707,,,O
cf-0038,교육/자격증/유학/이민,교육,,,독취사,https://cafe.naver.com/dokchi,3340339,,,O
cf-0039,교육/자격증/유학/이민,교육,,,실용음악닷컴,https://cafe.naver.com/apmusic,44903,,,O
cf-0040,교육/자격증/유학/이민,교육,,,실준사,https://cafe.naver.com/im2012,46175,,,O
cf-0041,교육/자격증/유학/이민,교육/자격증,,,공드림,https://cafe.naver.com/gugrade,938353,,,O
cf-0042,교육/자격증/유학/이민,교육/자격증,,,닥경사,https://cafe.naver.com/rhent,207313,,,O
cf-0043,교육/자격증/유학/이민,교육/자격증,,,경꿈사,https://cafe.naver.com/polstudy,274686,,,O
cf-0044,교육/자격증/유학/이민,교육/자격증,,,경수모,https://cafe.naver.com/tocop,271932,,,O
cf-0045,교육/자격증/유학/이민,교육/자격증,,,공수모,https://cafe.naver.com/corspecial,39518,,,O
cf-0046,교육/자격증/유학/이민,교육/자격증,,,경시모,https://cafe.naver.com/gongsimo1140,18727,,,O
cf-0047,교육/자격증/유학/이민,교육/자격증,,,7공9공카페,https://cafe.naver.com/kkaebangjeong,41434,,,O
cf-0048,교육/자격증/유학/이민,교육/자격증,,,독공사,https://cafe.naver.com/m2school,841459,,,O
cf-0049,교육/자격증/유학/이민,교육/자격증,,,합격하이웨이,https://cafe.naver.com/mogo,14384,,,O
cf-0050,교육/자격증/유학/이민,교육/자격증,,,나공,https://cafe.naver.com/icangongmuwon,18806,,,O
cf-0051,교육/자격증/유학/이민,교육/자격증,,,공준생,https://cafe.naver.com/parkhyeon6,3973,,,O
cf-0052,교육/자격증/유학/이민,교육/자격증,,,소방꿈,https://cafe.naver.com/gsdccompany,107922,,,O
cf-0053,교육/자격증/유학/이민,교육/자격증,,,소사모,https://cafe.naver.com/im119,63048,,,O
cf-0054,교육/자격증/유학/이민,교육/자격증,,,소꿈사,https://cafe.naver.com/firepass119,23064,,,O
cf-0055,교육/자격증/유학/이민,교육/자격증,,,소방119,https://cafe.naver.com/jpolicecenter,10787,,,O
cf-0056,교육/자격증/유학/이민,교육/자격증,,,공도사,https://cafe.naver.com/emsibt,294709,,,O
cf-0057,교육/자격증/유학/이민,교육/자격증,,,공사모,https://cafe.naver.com/landpro,427076,,,O
cf-0058,교육/자격증/유학/이민,교육/자격증,,,공취모,https://cafe.naver.com/dakchi,1006233,,,O
cf-0059,교육/자격증/유학/이민,교육/자격증,,,공준모,https://cafe.naver.com/studentstudyhard,751364,,,O
cf-0060,교육/자격증/유학/이민,교육/자격증,,,전간조,https://cafe.naver.com/rksghwhantk,327695,,,O
cf-0061,교육/자격증/유학/이민,교육/학습,,,영유나라,https://cafe.naver.com/studycool,83499,,,O
cf-0062,교육/자격증/유학/이민,교육/학습,,,영어꿀,https://cafe.naver.com/4dramaenglish,109208,,,O
cf-0063,교육/자격증/유학/이민,교육/학습,,,영어랑,https://cafe.naver.com/allkillenglish,233385,,,O
cf-0064,교육/자격증/유학/이민,교육/학습,,,토익마스터,https://cafe.naver.com/bjfms3,89497,,,O
cf-0065,교육/자격증/유학/이민,교육/학습,,,SAC항공유학,https://cafe.naver.com/ch47d1,13858,,,O
cf-0066,교육/자격증/유학/이민,교육/학습,,,미드로 영어공부,https://cafe.naver.com/englishtrip,305010,,,O
cf-0067,교육/자격증/유학/이민,교육/학습,,,스피드리딩,https://cafe.naver.com/readingtc,136443,,,O
cf-0068,교육/자격증/유학/이민,교육/학습,,,열심히 영어공부 스터디모임,https://cafe.naver.com/studywithgillian,17951,,,O
cf-0069,교육/자격증/유학/이민,교육/학습,,,토익캠프,https://cafe.naver.com/toeicamp,962925,,,O
cf-0070,교육/자격증/유학/이민,교육/학습,,,중정공,https://cafe.naver.com/zhcafe,313922,,,O
cf-0071,교육/자격증/유학/이민,교육/학습,,,스펙업,https://cafe.naver.com/specup,2117036,,,O
cf-0072,교육/자격증/유학/이민,교육/학습,,,수만휘,https://cafe.naver.com/suhui,2117036,,,O
cf-0073,교육/자격증/유학/이민,교육/학습,,,포만한 수학 연구소,https://cafe.naver.com/pnmath,247328,,,O
cf-0074,교육/자격증/유학/이민,교육/학습,,,로물콘,https://cafe.naver.com/romul,59904,,,O
cf-0075,교육/자격증/유학/이민,교육/학습,,,수꿈사,https://cafe.naver.com/kickstudy,343205,,,O
cf-0076,교육/자격증/유학/이민,교육/학습,,,기출비,https://cafe.naver.com/michiexam,1799401,,,O
cf-0077,교육/자격증/유학/이민,교육/학습,,,독편사,https://cafe.naver.com/kcidorcen,558896,,,O
cf-0078,교육/자격증/유학/이민,교육/학습,,,편준사,https://cafe.naver.com/yesut,187380,,,O
cf-0079,교육/자격증/유학/이민,교육/학습,,,수없세,https://cafe.naver.com/nosuneung,11759,,,O
cf-0080,교육/자격증/유학/이민,교육/학습,,,검정교실,https://cafe.naver.com/ansohee1,33459,,,O
cf-0081,교육/자격증/유학/이민,교육/학습,,,검정고수,https://cafe.naver.com/facebookgame,20583,,,O
cf-0082,맘/학습맘,교육/학습맘,경기도,"화성,동탄",동공아,https://cafe.naver.com/dongtanedu1,27217,,,O
cf-0083,맘/학습맘,교육/학습맘,경기도,"성남,분당",분당맹모(중고딩),https://cafe.naver.com/endudfun,57565,,,O
cf-0084,맘/학습맘,교육/학습맘,전국,,책으로 키우는 우리 아이,https://cafe.naver.com/plusiplay,64879,,,O
cf-0085,맘/학습맘,교육/학습맘,서울,"양천,목동",목동 공부잘하는 아이,https://cafe.naver.com/studymokdong,89347,,,O
cf-0086,맘/학습맘,교육/학습맘,전국,,지혜쌤,https://cafe.naver.com/yuasam,192587,,O,O
cf-0087,맘/학습맘,맘카페,경기도,"하남,미사,감일",감일맘&미사맘 모여라,https://cafe.naver.com/jellozon,91580,,,O
cf-0088,맘/학습맘,교육/학습맘,전국,,상위1%카페,https://cafe.naver.com/mathall,765657,,,O
cf-0089,맘/학습맘,교육/학습맘,전국,서울,초등맘카페,https://cafe.naver.com/mom79,152742,,,O
cf-0090,맘/학습맘,교육/학습맘,제주,,국대모,https://cafe.naver.com/tatoobbc,103344,,,O
cf-0091,군인/복지/행정/반려동물,군대,,,곰신카페,https://cafe.naver.com/komusincafe,596220,,,O
cf-0092,군인/복지/행정/반려동물,군대,,,군아사랑,https://cafe.naver.com/myarmyson,2945,,,O
cf-0093,군인/복지/행정/반려동물,군대,,,군화모,https://cafe.naver.com/army58cafe,112970,,,O
cf-0094,건강/운동/스포츠,다이어트,,,씨씨앙,https://cafe.naver.com/cantsb,507771,,,O
cf-0095,건강/운동/스포츠,다이어트,,,빼다챌,https://cafe.naver.com/ciriusdiet,9633,,,O
cf-0096,건강/운동/스포츠,다이어트,,,저탄고지,https://cafe.naver.com/ketogenic,277958,,,O
cf-0097,건강/운동/스포츠,다이어트,,,스미어터,https://cafe.naver.com/smieter,69092,,,O
cf-0098,건강/운동/스포츠,다이어트,,,1일1식&간헐적단식&공복운동,https://cafe.naver.com/onemealoneday,77054,,,O
cf-0099,맘/학습맘,맘카페,경기도,광주,광주맘들의행복만들기,http://cafe.naver.com/06rkddkwl,119682,,,O
cf-0100,맘/학습맘,맘카페,전국,,맘스톡톡,http://cafe.naver.com/aajumma,123839,,,O
cf-0101,맘/학습맘,맘카페,서울,"강북,노원,도봉,성북",응답하라아지매,http://cafe.naver.com/agameworld,64775,,,O
cf-0102,맘/학습맘,맘카페,서울,"강북,노원,도봉",강노봉,http://cafe.naver.com/aldisgo123d,151187,O,,O
cf-0103,맘/학습맘,맘카페,전국,,엄마는마법사,http://cafe.naver.com/birthdatparty09,80186,,,O
cf-0104,맘/학습맘,맘카페,부산,부산,아이와놀자,http://cafe.naver.com/busanzumma,38573,,,O
cf-0105,맘/학습맘,맘카페,강원도,춘천,춘천맘 모여라,http://cafe.naver.com/chbabymom,37721,,,O
cf-0106,맘/학습맘,맘카페,충남,당진,당진엄마들의모임,http://cafe.naver.com/dangjinmom,33769,,,O
cf-0107,맘/학습맘,맘카페,부산,"경남,부산",부경맘,https://cafe.naver.com/pusanmom,364577,,,O
cf-0108,맘/학습맘,맘카페,서울,송파,송파맘모여라,http://cafe.naver.com/godonghang,31477,,,O
cf-0109,맘/학습맘,맘카페,경북,구미,구미맘맘맘,http://cafe.naver.com/gumibabyparty,24753,,,O
cf-0110,맘/학습맘,맘카페,광주,광주,광주맘수다방,https://cafe.naver.com/hongsam09,111363,,,O
cf-0111,맘/학습맘,맘카페,전국,,아이원맘,http://cafe.naver.com/ionemom,114294,,,O
cf-0112,맘/학습맘,맘카페,서울,"송파,강동",송파강동맘톡,http://cafe.naver.com/koreakmc,67733,O,,O
cf-0113,맘/학습맘,맘카페,경북,경산,경산맘들모여라,http://cafe.naver.com/ksmoms,76866,,,O
cf-0114,맘/학습맘,맘카페,경북,김천,수다쟁이김천맘,http://cafe.naver.com/momkimchon,22896,,,O
cf-0115,맘/학습맘,맘카페,경기도,성남,성남사랑,http://cafe.naver.com/newssungnam,36690,O,,O
cf-0116,맘/학습맘,맘카페,강원도,속초,속초쉬즈홀릭,https://cafe.naver.com/mams2011,20657,,,O
cf-0117,맘/학습맘,맘카페,강원도,삼척,삼척맘스 카페,http://cafe.naver.com/samcheokmom,10141,,,O
cf-0118,맘/학습맘,맘카페,서울,"관악,동작",관악동작맘모여라,http://cafe.naver.com/weddingworld1,19199,,,O
